,ICD10
0,Q93
1,M89
2,Q78
3,C90
4,M32
5,M32
6,M32
7,M32
8,M32
9,M32
10,E85
11,E85
12,E85
13,E85
14,E85
15,Q87
16,Q87
17,Q87
18,Q87
19,D86
20,D86
21,D86
22,D86
23,D86
24,D86
25,Q85
26,Q85
27,Q85
28,Q85
29,Q87
30,Q87
31,Q87
32,M35
33,M35
34,M30
35,M30
36,L93
37,L93
38,M35
39,M35
40,M35
41,M35
42,Q87
43,L98
44,L98
45,M31
46,M31
47,M31
48,M12
49,M12
50,M12
51,E28
52,Q87
53,Q87
54,G91
55,G91
56,M34
57,M34
58,M31
59,M31
60,E75
61,E75
62,M06
63,M06
64,E75
65,E75
66,E85
67,E85
68,E77
69,I68
70,I68
71,I68
72,M60
73,M60
74,D61
75,D61
76,Q87
77,Q87
78,E77
79,Q87
80,Q87
81,Q61
82,Q61
83,M10
84,M10
85,M10
86,C90
87,C90
88,C90
89,C90
90,D69
91,D69
92,E75
93,E75
94,Q87
95,Q87
96,B55
97,B55
98,I78
99,I78
100,C96
101,M35
102,M35
103,M35
104,Q70
105,Q70
106,Q70
107,Q70
108,Q70
109,E71
110,G63
111,G63
112,G63
113,D84
114,Q87
115,M41
116,M41
117,Q87
118,E75
119,E75
120,Q98
121,Q98
122,Q98
123,T78
124,Q69
125,Q69
126,Q93
127,Q93
128,Q87
129,N08
130,N08
131,N08
132,Q87
133,Q87
134,Q87
135,Q87
136,Q78
137,Q78
138,Q78
139,Q78
140,Q78
141,Q77
142,M61
143,E20
144,C49
145,E20
146,Q87
147,N25
148,Q87
149,Q77
150,Q82
151,Q78
152,M08
153,M08
154,C41
155,Q78
156,Q75
157,Q77
158,Q77
159,Q78
160,Q87
161,Q87
162,M08
163,M08
164,M08
165,M08
166,Q87
167,Q87
168,D61
169,Q87
170,Q78
171,Q78
172,Q87
173,Q78
174,Q78
175,Q78
176,Q77
177,Q77
178,Q78
179,Q78
180,Q87
181,Q77
182,M89
183,M89
184,M92
185,Q87
186,M85
187,M85
188,M08
189,E34
190,Q77
191,Q77
192,Q87
193,M08
194,M08
195,C32
196,Q77
197,Q77
198,M86
199,M86
200,Q87
201,Q87
202,Q78
203,M27
204,M27
205,Q78
206,Q77
207,J98
208,Q78
209,Q77
210,M24
211,Q87
212,E85
213,E85
214,K05
215,E77
216,E77
217,E85
218,M43
219,M43
220,D76
221,M31
222,M31
223,Q87
224,Q87
225,M46
226,E76
227,D64
228,D64
229,D64
230,M05
231,M05
232,M05
233,L62
234,L62
235,L62
236,E77
237,Q87
238,Q87
239,E75
240,Q73
241,H80
242,H80
243,H80
244,G31
245,G31
246,Q77
247,Q68
248,D84
249,E77
250,G71
251,M35
252,M35
253,M89
254,E77
255,M51
256,M25
257,Q77
258,Q87
259,M32
260,M32
261,Q92
262,Q92
263,Q73
264,Q87
265,K09
266,Q79
267,Q70
268,Q77
269,E77
270,M12
271,M12
272,Q77
273,Q77
274,E85
275,E75
276,E75
277,G71
278,Q75
279,E13
280,E13
281,Q79
282,Q66
283,Q66
284,D76
285,M08
286,Q68
287,Q87
288,Q87
289,M35
290,Q87
291,Q73
292,I77
293,G11
294,Q87
295,Q73
296,Q78
297,Q74
298,Q74
299,I78
300,M12
301,M12
302,Q77
303,Q77
304,Q77
305,Q61
306,D16
307,G71
308,Q61
309,Q70
310,Q70
311,Q79
312,I01
313,I01
314,I01
315,R77
316,E77
317,E77
318,G71
319,Q79
320,M77
321,M77
322,Q76
323,Q73
324,Q71
325,Q71
326,Q77
327,Q51
328,Q51
329,E77
330,E77
331,M43
332,M43
333,Q67
334,Q67
335,M72
336,M72
337,A66
338,A66
339,E77
340,H49
341,E77
342,Q87
343,Q87
344,E77
345,Q72
346,Q72
347,E77
348,C96
349,Q87
350,J31
351,Q87
352,Q71
353,Q71
354,Q74
355,Q61
356,E76
357,Q61
358,L60
359,C96
360,E77
361,Q92
362,Q92
363,Q92
364,L95
365,M35
366,M09
367,M09
368,G71
369,Q79
370,M32
371,M32
372,M32
373,E77
374,M75
375,Q71
376,Q71
377,E77
378,Q78
379,Q61
380,Q75
381,I77
382,Q71
383,Q71
384,Q87
385,M90
386,Q74
387,Q87
388,D61
389,Q87
390,M70
391,E70
392,G71
393,H70
394,H70
395,Q84
396,Q84
397,D76
398,Q87
399,Q87
400,G71
401,Q87
402,D89
403,G71
404,Q87
405,E77
406,Q82
407,Q82
408,Q79
409,Q70
410,Q70
411,Q70
412,M32
413,Q71
414,Q71
415,E71
416,Q70
417,E77
418,I09
419,E77
420,M35
421,Q87
422,M35
423,Q61
424,M08
425,Q73
426,G71
427,Q87
428,M30
429,E77
430,E55
431,Q87
432,Q70
433,Q70
434,E88
435,Q87
436,Q87
437,Q74
438,Q74
439,E77
440,G71
441,M85
442,E77
443,E85
444,G71
445,E77
446,Q87
447,E77
448,Q78
449,E77
450,Q78
451,Q67
452,Q77
453,Q77
454,Q87
455,Q75
456,Q84
457,E77
458,J39
459,E85
460,E77
461,E77
462,Q79
463,Q87
464,D64
465,Q79
466,M48
467,Q79
468,Q87
469,Q84
470,Q84
471,J98
472,G31
473,Q76
474,Q87
475,Q87
476,E77
477,Q87
478,Q87
479,Q00
480,Q00
481,M85
482,Q70
483,Q70
484,Q78
485,Q69
486,Q75
487,Q87
488,Q79
489,Q78
490,D76
491,Q87
492,G71
493,Q74
494,Q87
495,Q75
496,Q75
497,Q68
498,Q87
499,M77
500,M77
501,E77
502,E77
503,Q87
504,E77
505,Q87
506,E77
507,Q04
508,Q72
509,Q75
510,Q87
511,M11
512,Q68
513,D84
514,Q68
515,Q93
516,Q70
517,Q70
518,Q77
519,D76
520,Q77
521,A65
522,Q75
523,Q74
524,G71
525,G71
526,E88
527,Q87
528,Q87
529,Q87
530,Q73
531,M93
532,M93
533,Q87
534,Q87
535,Q87
536,Q04
537,Q68
538,G71
539,K65
540,Q87
541,G71
542,E88
543,M77
544,Q75
545,Q79
546,C96
547,Q77
548,Q84
549,Q75
550,Q70
551,Q87
552,Q77
553,Q87
554,Q87
555,Q75
556,Q87
557,Q87
558,Q75
559,Q87
560,Q79
561,Q87
562,Q87
