,disease
0,Neurodevelopmental Disorder-Craniofacial Dysmorphism-Cardiac Defect-Skeletal Anomalies Syndrome Due to 9q21.3 Microdeletion
1,Idiopathic Phalangeal Acro-Osteolysis
2,Infantile Osteopetrosis with Neuroaxonal Dysplasia
3,Primary Plasmacytoma of the Bone
4,Systemic Lupus Erythematosus
5,Systemic Lupus Erythematosus
6,Systemic Lupus Erythematosus
7,Systemic Lupus Erythematosus
8,Systemic Lupus Erythematosus
9,Systemic Lupus Erythematosus
10,"Myeloma, Multiple"
11,"Myeloma, Multiple"
12,"Myeloma, Multiple"
13,"Myeloma, Multiple"
14,"Myeloma, Multiple"
15,Pfeiffer Syndrome
16,Pfeiffer Syndrome
17,Pfeiffer Syndrome
18,Pfeiffer Syndrome
19,Sarcoidosis 1
20,Sarcoidosis 1
21,Sarcoidosis 1
22,Sarcoidosis 1
23,Sarcoidosis 1
24,Sarcoidosis 1
25,"Neurofibromatosis, Type Ii"
26,"Neurofibromatosis, Type Ii"
27,"Neurofibromatosis, Type Ii"
28,"Neurofibromatosis, Type Ii"
29,Marfan Syndrome
30,Marfan Syndrome
31,Marfan Syndrome
32,Behcet Syndrome
33,Behcet Syndrome
34,Kawasaki Disease
35,Kawasaki Disease
36,Lupus Erythematosus
37,Lupus Erythematosus
38,Temporal Arteritis
39,Temporal Arteritis
40,Temporal Arteritis
41,Temporal Arteritis
42,Apert Syndrome
43,Proteasome-Associated Autoinflammatory Syndrome 1
44,Proteasome-Associated Autoinflammatory Syndrome 1
45,Granulomatosis with Polyangiitis
46,Granulomatosis with Polyangiitis
47,Granulomatosis with Polyangiitis
48,Arthropathy
49,Arthropathy
50,Arthropathy
51,Premature Ovarian Failure 1
52,Smith-Lemli-Opitz Syndrome
53,Smith-Lemli-Opitz Syndrome
54,Hydrocephalus
55,Hydrocephalus
56,Systemic Scleroderma
57,Systemic Scleroderma
58,Takayasu Arteritis
59,Takayasu Arteritis
60,Gaucher's Disease
61,Gaucher's Disease
62,Adult-Onset Still's Disease
63,Adult-Onset Still's Disease
64,"Gaucher Disease, Type I"
65,"Gaucher Disease, Type I"
66,Amyloidosis
67,Amyloidosis
68,"Congenital Disorder of Glycosylation, Type in"
69,"Cerebral Amyloid Angiopathy, Cst3-Related"
70,"Cerebral Amyloid Angiopathy, Cst3-Related"
71,"Cerebral Amyloid Angiopathy, Cst3-Related"
72,Inclusion Body Myositis
73,Inclusion Body Myositis
74,Shwachman-Diamond Syndrome 1
75,Shwachman-Diamond Syndrome 1
76,Cornelia De Lange Syndrome
77,Cornelia De Lange Syndrome
78,"Mannosidosis, Alpha B, Lysosomal"
79,"Congenital Lipomatous Overgrowth, Vascular Malformations, and Epidermal Nevi"
80,"Congenital Lipomatous Overgrowth, Vascular Malformations, and Epidermal Nevi"
81,"Meckel Syndrome, Type 1"
